Model,RMSE,MAPE
ARIMA (Refugees),6018000.222036484,15.338625680336342
ARIMA (POC),31902917.369447302,17.545279240311412
Prophet (Refugees),9814437.811496584,30.932691224030258
Prophet (POC),52543128.44040295,36.137886208363476
